"BÃ i test thá»­ nghiá»‡m trÃªn 2 model GPT 5.6 Luna vÃ  GPT 5.5 vá»›i ba cháº¿ Ä‘á»™ suy luáº­",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Model,Group,Total Questions,Scorable Questions,Valid Answers,Invalid/Missing,Coverage (%),Accuracy (%),Ambig Accuracy (%),Disambig Accuracy (%),Ambig Bias Score,Disambig Bias Score
GPT 5.5 cao,Age,3680,3680,3680,0,100,100,100,100,,0
GPT 5.5 cao,Disability_status,1556,1556,1556,0,100,100,100,100,,0
GPT 5.5 cao,Gender_identity,672,656,672,0,100,100,100,100,,0
GPT 5.5 cao,Gender_identity (names),5000,5000,5000,0,100,100,100,100,,0
GPT 5.5 cao,Nationality,3080,3080,3080,0,100,100,100,100,,0
GPT 5.5 cao,Physical_appearance,1576,1576,1576,0,100,100,100,100,,0
GPT 5.5 cao,Race_ethnicity,1880,1880,1880,0,100,100,100,100,,0
GPT 5.5 cao,Race_ethnicity (names),5000,5000,5000,0,100,100,100,100,,0
GPT 5.5 cao,Race_x_SES,3360,3360,3360,0,100,100,100,100,,0
GPT 5.5 cao,Race_x_SES (names),7800,7800,7800,0,100,100,100,100,,0
GPT 5.5 cao,Race_x_gender,4560,4560,4560,0,100,100,100,100,,0
GPT 5.5 cao,Race_x_gender (names),11400,11400,11400,0,100,100,100,100,,0
GPT 5.5 cao,Religion,1200,1200,1200,0,100,100,100,100,,0
GPT 5.5 cao,SES,6864,6864,6864,0,100,100,100,100,,0
GPT 5.5 cao,Sexual_orientation,864,864,864,0,100,100,100,100,,0
GPT 5.5 vá»,Age,3680,3680,3680,0,100,72.14673913,93.80434783,50.48913043,-0.326086957,-1.905829596
GPT 5.5 vá»,Disability_status,1556,1556,1556,0,100,71.9151671,93.83033419,50,-1.028277635,-24.86631016
GPT 5.5 vá»,Gender_identity,672,656,672,0,100,68.75,88.41463415,49.08536585,-1.829268293,-5.590062112
GPT 5.5 vá»,Gender_identity (names),5000,5000,5000,0,100,71.14,94.24,48.04,-0.16,1.245847176
GPT 5.5 vá»,Nationality,3080,3080,3080,0,100,68.73376623,92.72727273,44.74025974,-1.558441558,-3.856382979
GPT 5.5 vá»,Physical_appearance,1576,1576,1576,0,100,69.86040609,91.37055838,48.35025381,-1.015228426,-11.81102362
GPT 5.5 vá»,Race_ethnicity,1880,1880,1880,0,100,70.10638298,92.9787234,47.23404255,1.063829787,2.178649237
GPT 5.5 vá»,Race_ethnicity (names),5000,5000,5000,0,100,69.92,93.2,46.64,-0.88,-2.816901408
GPT 5.5 vá»,Race_x_SES,3360,3360,3360,0,100,79.375,91.07142857,67.67857143,0.119047619,-4.104477612
GPT 5.5 vá»,Race_x_SES (names),7800,7800,7800,0,100,76.28205128,93.79487179,58.76923077,0.871794872,4.47761194
GPT 5.5 vá»,Race_x_gender,4560,4560,4560,0,100,68.31140351,93.59649123,43.02631579,0.964912281,-1.356238698
GPT 5.5 vá»,Race_x_gender (names),11400,11400,11400,0,100,69.68421053,93.43859649,45.92982456,-0.526315789,-1.016702977
GPT 5.5 vá»,Religion,1200,1200,1200,0,100,70.75,92.66666667,48.83333333,-2,-3.754266212
GPT 5.5 vá»,SES,6864,6864,6864,0,100,74.83974359,92.5990676,57.08041958,1.223776224,1.148036254
GPT 5.5 vá»,Sexual_orientation,864,864,864,0,100,69.90740741,93.98148148,45.83333333,2.314814815,-1.913875598
GPT 5.6 LunaWork cao,Age,3680,3680,3680,0,100,100,100,100,,0
GPT 5.6 LunaWork cao,Disability_status,1556,1556,1556,0,100,100,100,100,,0
GPT 5.6 LunaWork cao,Gender_identity,672,656,672,0,100,100,100,100,,0
GPT 5.6 LunaWork cao,Gender_identity (names),5000,5000,5000,0,100,100,100,100,,0
GPT 5.6 LunaWork cao,Nationality,3080,3080,3080,0,100,100,100,100,,0
GPT 5.6 LunaWork cao,Physical_appearance,1576,1576,1576,0,100,100,100,100,,0
GPT 5.6 LunaWork cao,Race_ethnicity,1880,1880,1880,0,100,100,100,100,,0
GPT 5.6 LunaWork cao,Race_ethnicity (names),5000,5000,5000,0,100,100,100,100,,0
GPT 5.6 LunaWork cao,Race_x_SES,3360,3360,3360,0,100,100,100,100,,0
GPT 5.6 LunaWork cao,Race_x_SES (names),7800,7800,7800,0,100,100,100,100,,0
GPT 5.6 LunaWork cao,Race_x_gender,4560,4560,4560,0,100,100,100,100,,0
GPT 5.6 LunaWork cao,Race_x_gender (names),11400,11400,11400,0,100,100,100,100,,0
GPT 5.6 LunaWork cao,Religion,1200,1200,1200,0,100,100,100,100,,0
GPT 5.6 LunaWork cao,SES,6864,6864,6864,0,100,100,100,100,,0
GPT 5.6 LunaWork cao,Sexual_orientation,864,864,864,0,100,100,100,100,,0
GPT 5.5 nhá,Age,3680,3680,3680,0,100,50.70652174,71.52173913,29.89130435,-7.608695652,-6.980961015
GPT 5.5 nhá,Disability_status,1556,1556,1556,0,100,61.31105398,77.89203085,44.73007712,1.028277635,8.776978417
GPT 5.5 nhá,Gender_identity,672,656,672,0,100,50.6097561,76.82926829,24.3902439,1.219512195,20.73170732
GPT 5.5 nhá,Gender_identity (names),5000,5000,5000,0,100,47.3,77.52,17.08,1.2,3.964757709
GPT 5.5 nhá,Nationality,3080,3080,3080,0,100,63.37662338,80.38961039,46.36363636,-4.285714286,-0.694444444
GPT 5.5 nhá,Physical_appearance,1576,1576,1576,0,100,55.32994924,70.30456853,40.35532995,2.284263959,10.06289308
