Result Level,Model,condition_id,Analysis Category,Context,Question Polarity,Source File,Question Index,N,Scorable N,Valid,Invalid,Coverage (%),Overall Accuracy (%),AMB Accuracy / UNKNOWN (%),DIS Accuracy (%),UNKNOWN Response Rate Valid (%),"sAMB [-1,1]",sAMB x100,"sDIS [-1,1]",sDIS x100,AMB Non-UNKNOWN Guess Rate (%),AMB Stereotype Share Among Non-UNKNOWN (%),Aligned DIS Accuracy (%),Nonaligned DIS Accuracy (%),Nonaligned - Aligned (pp),n_biased,n_anti,n_unknown,n_dis_aligned,n_dis_nonaligned,Notes
OVERALL,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,ALL,ALL,ALL,ALL,ALL,58492,58476,58492,0,100.0,80.006,66.341,93.671,33.75,0.114953,11.495,0.023288,2.329,33.665,67.073,94.652,92.675,-1.977,N/A,N/A,N/A,14698,14540,Primary report-ready pooled/micro result for the full BBQ benchmark.
CATEGORY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Age,ALL,ALL,ALL,ALL,3680,3680,3680,0,100.0,67.418,43.478,91.359,21.929,0.346739,34.674,0.021277,2.128,56.522,80.673,92.391,90.326,-2.065,N/A,N/A,N/A,920,920,Category-level pooled result across both contexts and both polarities.
CATEGORY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Disability status,ALL,ALL,ALL,ALL,1556,1556,1556,0,100.0,72.237,47.815,96.658,24.422,0.33162,33.162,0.05974,5.974,52.185,81.773,99.239,94.01,-5.228,N/A,N/A,N/A,394,384,Category-level pooled result across both contexts and both polarities.
CATEGORY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Gender identity,ALL,ALL,ALL,ALL,672,656,672,0,100.0,82.738,73.214,92.262,39.137,0.094512,9.451,0.054662,5.466,27.134,67.416,95.122,89.024,-6.098,N/A,N/A,N/A,164,164,Category-level pooled result across both contexts and both polarities.
CATEGORY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Gender identity (names),ALL,ALL,ALL,ALL,5000,5000,5000,0,100.0,82.84,68.92,96.76,35.34,0.1212,12.12,0.03013,3.013,31.08,69.498,98.32,95.2,-3.12,N/A,N/A,N/A,1250,1250,Category-level pooled result across both contexts and both polarities.
CATEGORY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Nationality,ALL,ALL,ALL,ALL,3080,3080,3080,0,100.0,78.896,64.935,92.857,32.955,0.092208,9.221,0.017705,1.77,35.065,63.148,93.636,92.078,-1.558,N/A,N/A,N/A,770,770,Category-level pooled result across both contexts and both polarities.
CATEGORY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Physical appearance,ALL,ALL,ALL,ALL,1576,1576,1576,0,100.0,64.721,43.909,85.533,23.921,0.477157,47.716,0.051519,5.152,56.091,92.534,85.446,85.635,0.189,N/A,N/A,N/A,426,362,Category-level pooled result across both contexts and both polarities.
CATEGORY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race x SES,ALL,ALL,ALL,ALL,11160,11160,11160,0,100.0,80.529,67.419,93.638,33.817,0.078853,7.885,0.014368,1.437,32.581,62.101,94.373,92.903,-1.47,N/A,N/A,N/A,2790,2790,Category-level pooled result across both contexts and both polarities.
CATEGORY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race x gender,ALL,ALL,ALL,ALL,15960,15960,15960,0,100.0,82.362,73.872,90.852,37.945,0.020426,2.043,0.029799,2.98,26.128,53.909,92.342,89.357,-2.985,N/A,N/A,N/A,3996,3984,Category-level pooled result across both contexts and both polarities.
CATEGORY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race/ethnicity,ALL,ALL,ALL,ALL,1880,1880,1880,0,100.0,91.915,85.957,97.872,43.085,0.014894,1.489,0.0,0.0,14.043,55.303,97.872,97.872,0.0,N/A,N/A,N/A,470,470,Category-level pooled result across both contexts and both polarities.
CATEGORY,Phi-4 Mini 3.8B,phi4_mini_3_8b__native,Race/ethnicity (names),ALL,ALL,ALL,ALL,5000,5000,5000,0,100.0,78.54,61.8,95.28,30.98,-0.0004,-0.04,-0.010417,-1.042,38.2,49.948,94.72,95.84,1.12,N/A,N/A,N/A,1250,1250,Category-level pooled result across both contexts and both polarities.
