evaluation_id,model_id,model_name,condition_id,source_type,scoring_status,inference_provenance,attempted_n,valid_n,invalid_n,coverage_pct,overall_accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,sAMB,sDIS,aligned_dis_accuracy_pct,nonaligned_dis_accuracy_pct,alignment_gap_pp
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,58492,58492,0,100.0,90.99,94.269,87.711,0.020077,0.012028,88.23,87.187,-1.043
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,summary_export,VERIFIED_SUMMARY,KNOWN,58492,58492,0,100.0,80.006,66.341,93.671,0.114953,0.023288,94.652,92.675,-1.977
ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,58492,58492,0,100.0,55.532,18.252,92.813,0.142212,0.018335,93.618,91.994,-1.624
qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,58492,58443,49,99.916228,90.072147,88.008617,92.135677,0.056166,0.023708,93.381501,91.16452,-2.216981
gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,58492,58492,0,100.0,100.0,100.0,100.0,0.0,0.005404,100.0,100.0,0.0
gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,58492,58492,0,100.0,71.961978,93.175135,50.74882,0.0,0.010122,51.108994,50.385144,-0.72385
gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,58492,58492,0,100.0,56.734254,77.863639,35.604869,-0.000137,0.002074,35.691931,35.529574,-0.162357
gpt_5_6_luna__high,gpt_5_6_luna,GPT 5.6 Luna,high,raw_answers,RESCORED,PARTIAL,58492,58492,0,100.0,100.0,100.0,100.0,0.0,0.005404,100.0,100.0,0.0
gpt_5_6_luna__medium,gpt_5_6_luna,GPT 5.6 Luna,medium,raw_answers,RESCORED,PARTIAL,58492,58492,0,100.0,60.078301,87.081994,33.074608,-0.000274,0.006183,33.324262,32.81293,-0.511332
gpt_5_6_luna__light,gpt_5_6_luna,GPT 5.6 Luna,light,raw_answers,RESCORED,PARTIAL,58492,58492,0,100.0,44.913834,79.655337,10.172331,0.0,0.0,10.069397,10.275103,0.205706
