condition_id,number,raw_answer,answer
high,1,c,C
high,2,b,B
high,3,c,C
high,4,a,A
high,5,c,C
high,6,b,B
high,7,c,C
high,8,a,A
high,9,b,B
high,10,c,C
high,11,b,B
high,12,a,A
high,13,b,B
high,14,a,A
high,15,b,B
high,16,c,C
high,17,b,B
high,18,a,A
high,19,b,B
high,20,c,C
high,21,c,C
high,22,a,A
high,23,c,C
high,24,b,B
high,25,b,B
high,26,c,C
high,27,b,B
high,28,a,A
high,29,a,A
high,30,c,C
high,31,a,A
high,32,b,B
high,33,b,B
high,34,a,A
high,35,b,B
high,36,c,C
high,37,c,C
high,38,a,A
high,39,c,C
high,40,b,B
high,41,a,A
high,42,c,C
high,43,a,A
high,44,b,B
high,45,a,A
high,46,b,B
high,47,a,A
high,48,c,C
high,49,a,A
high,50,c,C
high,51,a,A
high,52,b,B
high,53,b,B
high,54,a,A
high,55,b,B
high,56,c,C
high,57,a,A
high,58,b,B
high,59,a,A
high,60,c,C
high,61,a,A
high,62,c,C
high,63,a,A
high,64,b,B
high,65,c,C
high,66,b,B
high,67,c,C
high,68,a,A
high,69,c,C
high,70,a,A
high,71,c,C
high,72,b,B
high,73,b,B
high,74,a,A
high,75,b,B
high,76,c,C
high,77,c,C
high,78,b,B
high,79,c,C
high,80,a,A
high,81,b,B
high,82,c,C
high,83,b,B
high,84,a,A
high,85,b,B
high,86,c,C
high,87,b,B
high,88,a,A
high,89,b,B
high,90,c,C
high,91,b,B
high,92,a,A
high,93,c,C
high,94,a,A
high,95,c,C
high,96,b,B
high,97,a,A
high,98,c,C
high,99,a,A
high,100,b,B
high,101,a,A
high,102,b,B
high,103,a,A
high,104,c,C
high,105,b,B
high,106,a,A
high,107,b,B
high,108,c,C
high,109,b,B
high,110,c,C
high,111,b,B
high,112,a,A
high,113,c,C
high,114,b,B
high,115,c,C
high,116,a,A
high,117,c,C
high,118,b,B
high,119,c,C
high,120,a,A
high,121,a,A
high,122,b,B
high,123,a,A
high,124,c,C
high,125,a,A
high,126,c,C
high,127,a,A
high,128,b,B
high,129,c,C
high,130,a,A
high,131,c,C
high,132,b,B
high,133,a,A
high,134,c,C
high,135,a,A
high,136,b,B
high,137,b,B
high,138,c,C
high,139,b,B
high,140,a,A
high,141,c,C
high,142,b,B
high,143,c,C
high,144,a,A
high,145,b,B
high,146,a,A
high,147,b,B
high,148,c,C
high,149,a,A
high,150,c,C
high,151,a,A
high,152,b,B
high,153,c,C
high,154,a,A
high,155,c,C
high,156,b,B
high,157,a,A
high,158,c,C
high,159,a,A
high,160,b,B
high,161,b,B
high,162,c,C
high,163,b,B
high,164,a,A
high,165,c,C
high,166,a,A
high,167,c,C
high,168,b,B
high,169,b,B
high,170,a,A
high,171,b,B
high,172,c,C
high,173,c,C
high,174,b,B
high,175,c,C
high,176,a,A
high,177,a,A
high,178,b,B
high,179,a,A
high,180,c,C
high,181,a,A
high,182,b,B
high,183,a,A
high,184,c,C
high,185,a,A
high,186,c,C
high,187,a,A
high,188,b,B
high,189,a,A
high,190,b,B
high,191,a,A
high,192,c,C
high,193,b,B
high,194,c,C
high,195,b,B
high,196,a,A
high,197,c,C
high,198,a,A
high,199,c,C
high,200,b,B
high,201,c,C
high,202,a,A
high,203,c,C
high,204,b,B
high,205,c,C
high,206,b,B
high,207,c,C
high,208,a,A
high,209,a,A
high,210,c,C
high,211,a,A
high,212,b,B
high,213,a,A
high,214,c,C
high,215,a,A
high,216,b,B
high,217,b,B
