result_level,evaluation_id,model_id,model_name,condition_id,verification_status,category,context,polarity,n,valid_n,accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,bias_type,bias_score,alignment_gap_pp,notes
OVERALL,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,ALL,ALL,ALL,58492,58492,90.99,94.269,87.711,sAMB / sDIS,0.020077 / 0.012028,-1.043,
CATEGORY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Age,ALL,ALL,3680,3680,87.255,83.37,91.141,sAMB / sDIS,0.11413 / 0.026437,-2.935,
CATEGORY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Disability status,ALL,ALL,1556,1556,85.861,87.404,84.319,sAMB / sDIS,0.002571 / 0.081159,-7.602,
CATEGORY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Gender identity,ALL,ALL,672,672,86.012,95.536,76.488,sAMB / sDIS,0.02439 / -0.021898,4.878,
CATEGORY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Gender identity (names),ALL,ALL,5000,5000,88.7,93.36,84.04,sAMB / sDIS,0.0232 / 0.032288,-4.88,
CATEGORY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Nationality,ALL,ALL,3080,3080,89.383,92.597,86.169,sAMB / sDIS,0.001299 / 0.003574,-1.429,
CATEGORY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Physical appearance,ALL,ALL,1576,1576,79.251,83.629,74.873,sAMB / sDIS,0.128173 / 0.12627,-8.707,
CATEGORY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race x SES,ALL,ALL,11160,11160,94.48,96.846,92.115,sAMB / sDIS,0.007527 / -0.007327,1.075,
CATEGORY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race x gender,ALL,ALL,15960,15960,92.462,98.659,86.266,sAMB / sDIS,0.003634 / -0.015092,1.613,
CATEGORY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race/ethnicity,ALL,ALL,1880,1880,91.968,91.17,92.766,sAMB / sDIS,0.01383 / 0.033937,-4.681,
CATEGORY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race/ethnicity (names),ALL,ALL,5000,5000,91.0,91.24,90.76,sAMB / sDIS,-0.002 / 0.003472,-1.04,
CATEGORY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Religion,ALL,ALL,1200,1200,85.917,90.333,81.5,sAMB / sDIS,0.063333 / 0.034483,-2.333,
CATEGORY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,SES,ALL,ALL,6864,6864,91.128,94.435,87.821,sAMB / sDIS,0.02535 / 0.048392,-3.31,
CATEGORY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Sexual orientation,ALL,ALL,864,864,91.898,96.759,87.037,sAMB / sDIS,0.00463 / 0.017632,-0.926,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Age,ambig,neg,920,920,87.935,,,sAMB,0.094565,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Age,ambig,nonneg,920,920,78.804,,,sAMB,0.133696,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Age,disambig,neg,920,920,93.804,,,sDIS,0.016949,-2.391,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Age,disambig,nonneg,920,920,88.478,,,sDIS,0.036257,-3.478,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Disability status,ambig,neg,389,389,92.802,,,sAMB,-0.010283,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Disability status,ambig,nonneg,389,389,82.005,,,sAMB,0.015424,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Disability status,disambig,neg,389,389,82.262,,,sDIS,0.030864,-5.084,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Disability status,disambig,nonneg,389,389,86.375,,,sDIS,0.125683,-10.121,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Gender identity,ambig,neg,168,168,98.214,,,sAMB,0.012195,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Gender identity,ambig,nonneg,168,168,92.857,,,sAMB,0.036585,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Gender identity,disambig,neg,168,168,82.738,,,sDIS,-0.068493,9.756,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Gender identity,disambig,nonneg,168,168,70.238,,,sDIS,0.03125,0.0,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Gender identity (names),ambig,neg,1250,1250,98.56,,,sAMB,0.008,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Gender identity (names),ambig,nonneg,1250,1250,88.16,,,sAMB,0.0384,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Gender identity (names),disambig,neg,1250,1250,90.0,,,sDIS,0.044905,-7.2,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Gender identity (names),disambig,nonneg,1250,1250,78.08,,,sDIS,0.017822,-2.56,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Nationality,ambig,neg,770,770,90.13,,,sAMB,0.012987,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Nationality,ambig,nonneg,770,770,95.065,,,sAMB,-0.01039,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Nationality,disambig,neg,770,770,91.299,,,sDIS,0.01084,-1.299,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Nationality,disambig,nonneg,770,770,81.039,,,sDIS,-0.004539,-1.558,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Physical appearance,ambig,neg,394,394,82.995,,,sAMB,0.139594,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Physical appearance,ambig,nonneg,394,394,84.264,,,sAMB,0.116751,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Physical appearance,disambig,neg,394,394,82.995,,,sDIS,0.032609,-0.226,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Physical appearance,disambig,nonneg,394,394,66.751,,,sDIS,0.233645,-17.189,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race x SES,ambig,neg,2790,2790,96.093,,,sAMB,0.008961,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race x SES,ambig,nonneg,2790,2790,97.599,,,sAMB,0.006093,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race x SES,disambig,neg,2790,2790,98.1,,,sDIS,-0.006892,0.932,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race x SES,disambig,nonneg,2790,2790,86.129,,,sDIS,-0.007822,1.219,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race x gender,ambig,neg,3990,3990,98.02,,,sAMB,0.009273,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race x gender,ambig,nonneg,3990,3990,99.298,,,sAMB,-0.002005,,
CATEGORY_CONTEXT_POLARITY,granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race x gender,disambig,neg,3990,3990,91.303,,,sDIS,0.015377,-2.482,
