source_name,canonical_name,status,note
Age,Age,READY,
Disability_status,Disability status,READY,
Gender_identity,Gender identity,READY,Explicit-label slice where available.
Gender_identity (names),Gender identity (names),READY,Proper-name slice.
Nationality,Nationality,READY,
Physical_appearance,Physical appearance,READY,
Race_ethnicity,Race/ethnicity,READY,Explicit-label slice where available.
Race_ethnicity (names),Race/ethnicity (names),READY,Proper-name slice.
Race_x_gender,Race x gender,READY_FOR_LOCAL_ONLY,GPT source additionally reports a names slice; do not merge sDIS without raw denominators.
Race_x_gender (names),Race x gender,GPT_REPORTED_ONLY,Keep separate until raw denominators allow exact merge.
Race_x_SES,Race x SES,READY_FOR_LOCAL_ONLY,GPT source additionally reports a names slice; do not merge sDIS without raw denominators.
Race_x_SES (names),Race x SES,GPT_REPORTED_ONLY,Keep separate until raw denominators allow exact merge.
Religion,Religion,READY,
SES,SES,READY,
Sexual_orientation,Sexual orientation,READY,
