evaluation_id,model_id,model_name,condition_id,source_type,scoring_status,inference_provenance,category,context,polarity,n,valid_n,invalid_n,coverage_pct,accuracy_pct,unknown_rate_valid_pct,bias_scorable_valid_n,bias_type,bias_score,aligned_dis_accuracy_pct,nonaligned_dis_accuracy_pct,alignment_gap_pp,n_biased,n_anti,n_unknown
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Age,ambig,neg,920,920,0,100.0,87.935,87.935,920,sAMB,0.094565,,,,99,12,809
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Age,ambig,nonneg,920,920,0,100.0,78.804,78.804,920,sAMB,0.133696,,,,159,36,725
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Age,disambig,neg,920,920,0,100.0,93.804,3.804,920,sDIS,0.016949,95.0,92.609,-2.391,450,435,35
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Age,disambig,nonneg,920,920,0,100.0,88.478,7.065,920,sDIS,0.036257,90.217,86.739,-3.478,443,412,65
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Disability status,ambig,neg,389,389,0,100.0,92.802,92.802,389,sAMB,-0.010283,,,,12,16,361
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Disability status,ambig,nonneg,389,389,0,100.0,82.005,82.005,389,sAMB,0.015424,,,,38,32,319
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Disability status,disambig,neg,389,389,0,100.0,82.262,16.71,389,sDIS,0.030864,84.772,79.688,-5.084,167,157,65
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Disability status,disambig,nonneg,389,389,0,100.0,86.375,5.913,389,sDIS,0.125683,91.371,81.25,-10.121,206,160,23
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Gender identity,ambig,neg,168,168,0,100.0,98.214,98.214,164,sAMB,0.012195,,,,2,0,162
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Gender identity,ambig,nonneg,168,168,0,100.0,92.857,92.857,164,sAMB,0.036585,,,,9,3,152
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Gender identity,disambig,neg,168,168,0,100.0,82.738,11.31,164,sDIS,-0.068493,78.049,87.805,9.756,68,78,18
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Gender identity,disambig,nonneg,168,168,0,100.0,70.238,21.429,164,sDIS,0.03125,69.512,69.512,0.0,66,62,36
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Gender identity (names),ambig,neg,1250,1250,0,100.0,98.56,98.56,1250,sAMB,0.008,,,,14,4,1232
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Gender identity (names),ambig,nonneg,1250,1250,0,100.0,88.16,88.16,1250,sAMB,0.0384,,,,98,50,1102
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Gender identity (names),disambig,neg,1250,1250,0,100.0,90.0,7.36,1250,sDIS,0.044905,93.6,86.4,-7.2,605,553,92
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Gender identity (names),disambig,nonneg,1250,1250,0,100.0,78.08,19.2,1250,sDIS,0.017822,79.36,76.8,-2.56,514,496,240
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Nationality,ambig,neg,770,770,0,100.0,90.13,90.13,770,sAMB,0.012987,,,,43,33,694
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Nationality,ambig,nonneg,770,770,0,100.0,95.065,95.065,770,sAMB,-0.01039,,,,15,23,732
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Nationality,disambig,neg,770,770,0,100.0,91.299,4.156,770,sDIS,0.01084,91.948,90.649,-1.299,373,365,32
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Nationality,disambig,nonneg,770,770,0,100.0,81.039,14.156,770,sDIS,-0.004539,81.818,80.26,-1.558,329,332,109
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Physical appearance,ambig,neg,394,394,0,100.0,82.995,82.995,394,sAMB,0.139594,,,,61,6,327
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Physical appearance,ambig,nonneg,394,394,0,100.0,84.264,84.264,394,sAMB,0.116751,,,,54,8,332
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Physical appearance,disambig,neg,394,394,0,100.0,82.995,6.599,394,sDIS,0.032609,83.099,82.873,-0.226,190,178,26
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Physical appearance,disambig,nonneg,394,394,0,100.0,66.751,18.528,394,sDIS,0.233645,74.648,57.459,-17.189,198,123,73
