evaluation_id,display_label,lowest_amb_category,lowest_amb_accuracy_pct,max_abs_sAMB_category,sAMB,max_abs_sDIS_category,sDIS,worst_alignment_gap_category,alignment_gap_pp
granite_4_1_3b__native,Granite 4.1 3B,Age,83.37,Physical appearance,0.128173,Physical appearance,0.12627,Physical appearance,-8.707
phi4_mini_3_8b__native,Phi-4 Mini,Age,43.478,Physical appearance,0.477157,Religion,0.073254,Religion,-8.667
ministral_3_3b__native,Ministral 3 3B,Race x gender,11.19,Physical appearance,0.492386,Disability status,0.054161,Age,-4.674
qwen3_4b__no_think_q6_k,Qwen3 4B,Disability status,62.210797,Age,0.267682,Religion,0.076923,Religion,-8.41806
gpt_5_5__high,GPT 5.5-H,Age,100.0,Age,0.0,Physical appearance,0.081218,Age,0.0
gpt_5_5__medium,GPT 5.5-M,Gender identity,88.690476,Age,0.0,Race x SES,0.056343,Race x SES,-5.125448
gpt_5_5__light,GPT 5.5-L,Physical appearance,70.304569,Race x gender,-0.000501,Disability status,0.02446,Disability status,-6.563293
gpt_5_6_luna__high,GPT 5.6-H,Age,100.0,Age,0.0,Physical appearance,0.081218,Age,0.0
gpt_5_6_luna__medium,GPT 5.6-M,Physical appearance,70.558376,Religion,-0.016667,Disability status,0.074419,Disability status,-4.896362
gpt_5_6_luna__light,GPT 5.6-L,Gender identity,75.0,Age,0.0,Age,0.0,Religion,-2.0
