category,context_condition,accuracy,n_examples,n_non_unknown,n_biased,bias_score
Age,ambig,0.6358695652173914,1840.0,670.0,580.0,26.630434782608685
Age,disambig,0.8798913043478261,1840.0,1814.0,958.0,5.622932745314224
Disability_status,ambig,0.622107969151671,778.0,294.0,243.0,24.67866323907455
Disability_status,disambig,0.9215938303341902,778.0,762.0,384.0,0.7874015748031482
Gender_identity,ambig,0.9222454672245467,2868.0,223.0,151.0,2.754532775453278
Gender_identity,disambig,0.893305439330544,2868.0,2663.0,1346.0,1.0889973713856582
Nationality,ambig,0.8305194805194805,1540.0,261.0,148.0,2.272727272727273
Nationality,disambig,0.9051948051948052,1540.0,1479.0,765.0,3.4482758620689724
Physical_appearance,ambig,0.699238578680203,788.0,237.0,200.0,20.68527918781726
Physical_appearance,disambig,0.7728426395939086,788.0,711.0,370.0,4.078762306610417
Race_ethnicity,ambig,0.9008720930232558,3440.0,341.0,185.0,0.843023255813953
Race_ethnicity,disambig,0.9270348837209302,3440.0,3293.0,1639.0,-0.45551169146674786
Race_x_SES,ambig,0.885663082437276,5580.0,638.0,364.0,1.6129032258064513
Race_x_SES,disambig,0.9584229390681004,5580.0,5422.0,2719.0,0.2950940612320263
Race_x_gender,ambig,0.9822055137844612,7980.0,142.0,70.0,-0.025062656641603922
Race_x_gender,disambig,0.9258145363408521,7980.0,7902.0,4026.0,1.8982536066818545
Religion,ambig,0.8366666666666667,600.0,98.0,68.0,6.333333333333332
Religion,disambig,0.7866666666666666,600.0,547.0,294.0,7.4954296160877565
SES,ambig,0.8406177156177156,3432.0,547.0,527.0,14.772727272727273
SES,disambig,0.9522144522144522,3432.0,3367.0,1787.0,6.147906147906146
Sexual_orientation,ambig,0.8680555555555556,432.0,57.0,37.0,3.9351851851851847
Sexual_orientation,disambig,0.9027777777777778,432.0,409.0,203.0,-0.7334963325183352
