result_level,evaluation_id,model_id,model_name,condition_id,verification_status,category,context,polarity,n,valid_n,accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,bias_type,bias_score,alignment_gap_pp,notes
OVERALL,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,ALL,ALL,ALL,58492,58492,55.532,18.252,92.813,sAMB / sDIS,0.142212 / 0.018335,-1.624,
CATEGORY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Age,ALL,ALL,3680,3680,51.793,12.989,90.598,sAMB / sDIS,0.461413 / 0.038829,-4.674,
CATEGORY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Disability status,ALL,ALL,1556,1556,48.843,11.44,86.247,sAMB / sDIS,0.294344 / 0.054161,-4.21,
CATEGORY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Gender identity,ALL,ALL,672,672,54.315,25.298,83.333,sAMB / sDIS,0.295732 / -0.023256,2.439,
CATEGORY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Gender identity (names),ALL,ALL,5000,5000,60.56,32.4,88.72,sAMB / sDIS,0.1656 / 0.02382,-2.08,
CATEGORY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Nationality,ALL,ALL,3080,3080,58.766,22.922,94.61,sAMB / sDIS,0.156494 / 0.035924,-4.026,
CATEGORY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Physical appearance,ALL,ALL,1576,1576,49.365,17.005,81.726,sAMB / sDIS,0.492386 / 0.044059,2.633,
CATEGORY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Race x SES,ALL,ALL,11160,11160,59.086,20.036,98.136,sAMB / sDIS,0.04552 / 0.003243,-0.502,
CATEGORY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Race x gender,ALL,ALL,15960,15960,51.31,11.19,91.429,sAMB / sDIS,0.00614 / 0.014644,-1.78,
CATEGORY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Race/ethnicity,ALL,ALL,1880,1880,65.638,33.617,97.66,sAMB / sDIS,0.129787 / 0.010776,-1.702,
CATEGORY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Race/ethnicity (names),ALL,ALL,5000,5000,58.08,20.0,96.16,sAMB / sDIS,0.0624 / 0.000401,-0.16,
CATEGORY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Religion,ALL,ALL,1200,1200,56.083,25.833,86.333,sAMB / sDIS,0.151667 / 0.038194,-4.667,
CATEGORY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,SES,ALL,ALL,6864,6864,54.385,15.181,93.59,sAMB / sDIS,0.3581 / 0.029715,-1.552,
CATEGORY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Sexual orientation,ALL,ALL,864,864,58.796,28.935,88.657,sAMB / sDIS,0.090278 / 0.029126,-3.241,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Age,ambig,neg,920,920,13.478,,,sAMB,0.476087,,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Age,ambig,nonneg,920,920,12.5,,,sAMB,0.446739,,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Age,disambig,neg,920,920,96.63,,,sDIS,0.030033,-4.13,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Age,disambig,nonneg,920,920,84.565,,,sDIS,0.047836,-5.217,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Disability status,ambig,neg,389,389,7.712,,,sAMB,0.40874,,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Disability status,ambig,nonneg,389,389,15.167,,,sAMB,0.179949,,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Disability status,disambig,neg,389,389,92.545,,,sDIS,-0.041451,5.465,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Disability status,disambig,nonneg,389,389,79.949,,,sDIS,0.153639,-13.885,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Gender identity,ambig,neg,168,168,25.0,,,sAMB,0.292683,,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Gender identity,ambig,nonneg,168,168,25.595,,,sAMB,0.29878,,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Gender identity,disambig,neg,168,168,90.476,,,sDIS,0.018634,-2.439,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Gender identity,disambig,nonneg,168,168,76.19,,,sDIS,-0.071429,7.317,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Gender identity (names),ambig,neg,1250,1250,33.36,,,sAMB,0.1976,,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Gender identity (names),ambig,nonneg,1250,1250,31.44,,,sAMB,0.1336,,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Gender identity (names),disambig,neg,1250,1250,96.24,,,sDIS,0.045089,-4.96,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Gender identity (names),disambig,nonneg,1250,1250,81.2,,,sDIS,-0.000937,0.8,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Nationality,ambig,neg,770,770,24.416,,,sAMB,0.192208,,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Nationality,ambig,nonneg,770,770,21.429,,,sAMB,0.120779,,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Nationality,disambig,neg,770,770,96.753,,,sDIS,0.045632,-4.935,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Nationality,disambig,nonneg,770,770,92.468,,,sDIS,0.026178,-3.117,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Physical appearance,ambig,neg,394,394,13.959,,,sAMB,0.418782,,
CATEGORY_CONTEXT_POLARITY,ministral_3_3b__native,ministral_3_3b,Ministral 3 3B,native,VERIFIED_FULL,Physical appearance,ambig,nonneg,394,394,20.051,,,sAMB,0.56599,,
