result_level,evaluation_id,model_id,model_name,condition_id,source_type,scoring_status,inference_provenance,category,context,polarity,n,valid_n,invalid_n,coverage_pct,overall_accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,accuracy_pct,unknown_rate_valid_pct,sAMB,sDIS,bias_type,bias_score,aligned_dis_accuracy_pct,nonaligned_dis_accuracy_pct,alignment_gap_pp,n_biased,n_anti,n_unknown,bias_scorable_valid_n
OVERALL,qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,ALL,ALL,ALL,58492,58443,49,99.916228,90.072147,88.008617,92.135677,90.072147,,0.056166,0.023708,,,93.381501,91.16452,-2.216981,,,,
CATEGORY,qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Age,ALL,ALL,3680,3678,2,99.945652,75.788043,63.586957,87.98913,75.788043,,0.267682,0.056229,,,91.304348,84.673913,-6.630435,,,,
CATEGORY,qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Disability status,ALL,ALL,1556,1556,0,100.0,77.18509,62.210797,92.159383,77.18509,,0.246787,0.007874,,,91.370558,92.96875,1.598192,,,,
CATEGORY,qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Gender identity,ALL,ALL,672,672,0,100.0,83.630952,89.583333,77.678571,83.630952,,-0.009146,-0.057554,,,74.390244,79.878049,5.487805,,,,
CATEGORY,qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Gender identity (names),ALL,ALL,5000,5000,0,100.0,92.08,92.52,91.64,92.08,,0.0332,0.024101,,,92.96,90.32,-2.64,,,,
CATEGORY,qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Nationality,ALL,ALL,3080,3080,0,100.0,86.785714,83.051948,90.519481,86.785714,,0.022727,0.034483,,,92.987013,88.051948,-4.935065,,,,
CATEGORY,qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Physical appearance,ALL,ALL,1576,1576,0,100.0,73.604061,69.923858,77.284264,73.604061,,0.206853,0.040788,,,76.29108,78.453039,2.161959,,,,
CATEGORY,qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Race x SES,ALL,ALL,11160,11152,8,99.928315,92.204301,88.566308,95.842294,92.204301,,0.016311,0.004247,,,96.300287,95.625672,-0.674615,,,,
CATEGORY,qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Race x gender,ALL,ALL,15960,15955,5,99.968672,95.401003,98.220551,92.581454,95.401003,,-0.000251,0.019628,,,93.764087,91.511803,-2.252284,,,,
CATEGORY,qwen3_4b__no_think_q6_k,qwen3_4b,Qwen3 4B Instruct,no_think_q6_k,raw_predictions,RESCORED,KNOWN,Race/ethnicity,ALL,ALL,1880,1873,7,99.62766,89.734043,88.404255,91.06383,89.734043,,0.028723,0.005587,,,92.077088,91.416309,-0.660779,,,,
