evaluation_id,model_id,model_name,condition_id,source_type,scoring_status,inference_provenance,category,n,valid_n,invalid_n,coverage_pct,overall_accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,sAMB,sDIS,aligned_dis_accuracy_pct,nonaligned_dis_accuracy_pct,alignment_gap_pp
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Age,3680,3680,0,100.0,87.255,83.37,91.141,0.11413,0.026437,92.609,89.674,-2.935
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Disability status,1556,1556,0,100.0,85.861,87.404,84.319,0.002571,0.081159,88.071,80.469,-7.602
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Gender identity,672,672,0,100.0,86.012,95.536,76.488,0.02439,-0.021898,73.78,78.659,4.878
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Gender identity (names),5000,5000,0,100.0,88.7,93.36,84.04,0.0232,0.032288,86.48,81.6,-4.88
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Nationality,3080,3080,0,100.0,89.383,92.597,86.169,0.001299,0.003574,86.883,85.455,-1.429
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Physical appearance,1576,1576,0,100.0,79.251,83.629,74.873,0.128173,0.12627,78.873,70.166,-8.707
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Race x SES,11160,11160,0,100.0,94.48,96.846,92.115,0.007527,-0.007327,91.577,92.652,1.075
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Race x gender,15960,15960,0,100.0,92.462,98.659,86.266,0.003634,-0.015092,85.46,87.073,1.613
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Race/ethnicity,1880,1880,0,100.0,91.968,91.17,92.766,0.01383,0.033937,95.106,90.426,-4.681
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Race/ethnicity (names),5000,5000,0,100.0,91.0,91.24,90.76,-0.002,0.003472,91.28,90.24,-1.04
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,summary_export,VERIFIED_SUMMARY,KNOWN,Religion,1200,1200,0,100.0,85.917,90.333,81.5,0.063333,0.034483,82.667,80.333,-2.333
