result_level,evaluation_id,model_id,model_name,condition_id,verification_status,category,context,polarity,n,valid_n,accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,bias_type,bias_score,alignment_gap_pp,notes
OVERALL,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,ALL,ALL,ALL,58492,58492,100.0,100.0,100.0,N/A,,,Accuracy reconstructed from supplied category aggregates. Overall bias/alignment left N/A pending raw/scorer audit.
OVERALL,gpt_5_6_lunawork__reasoning_low,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_low,REPORTED_AGGREGATE,ALL,ALL,ALL,58492,58492,44.91383437094919,79.65533748101348,10.172331257616769,N/A,,,Accuracy reconstructed from supplied category aggregates. Overall bias/alignment left N/A pending raw/scorer audit.
OVERALL,gpt_5_6_lunawork__reasoning_medium,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_medium,REPORTED_AGGREGATE,ALL,ALL,ALL,58492,58492,60.07484033693975,87.07982580031388,33.06985487262327,N/A,,,Accuracy reconstructed from supplied category aggregates. Overall bias/alignment left N/A pending raw/scorer audit.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Age,ALL,ALL,3680,3680,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Disability_status,ALL,ALL,1556,1556,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Gender_identity,ALL,ALL,672,672,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Gender_identity (names),ALL,ALL,5000,5000,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Nationality,ALL,ALL,3080,3080,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Physical_appearance,ALL,ALL,1576,1576,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Race_ethnicity,ALL,ALL,1880,1880,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Race_ethnicity (names),ALL,ALL,5000,5000,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Race_x_SES,ALL,ALL,3360,3360,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Race_x_SES (names),ALL,ALL,7800,7800,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Race_x_gender,ALL,ALL,4560,4560,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Race_x_gender (names),ALL,ALL,11400,11400,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,Religion,ALL,ALL,1200,1200,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_6_lunawork__reasoning_high,gpt_5_6_lunawork,GPT 5.6 LunaWork,reasoning_high,REPORTED_AGGREGATE,SES,ALL,ALL,6864,6864,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
