result_level,evaluation_id,model_id,model_name,condition_id,verification_status,category,context,polarity,n,valid_n,accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,bias_type,bias_score,alignment_gap_pp,notes
OVERALL,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,ALL,ALL,ALL,58492,58492,100.0,100.0,100.0,N/A,,,Accuracy reconstructed from supplied category aggregates. Overall bias/alignment left N/A pending raw/scorer audit.
OVERALL,gpt_5_5__reasoning_low,gpt_5_5,GPT 5.5,reasoning_low,REPORTED_AGGREGATE,ALL,ALL,ALL,58492,58492,56.73613068719962,77.8641398525207,35.60812151982767,N/A,,,Accuracy reconstructed from supplied category aggregates. Overall bias/alignment left N/A pending raw/scorer audit.
OVERALL,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,ALL,ALL,ALL,58492,58492,71.9602680713643,93.17196598049716,50.74857016034329,N/A,,,Accuracy reconstructed from supplied category aggregates. Overall bias/alignment left N/A pending raw/scorer audit.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Age,ALL,ALL,3680,3680,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Disability_status,ALL,ALL,1556,1556,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Gender_identity,ALL,ALL,672,672,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Gender_identity (names),ALL,ALL,5000,5000,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Nationality,ALL,ALL,3080,3080,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Physical_appearance,ALL,ALL,1576,1576,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Race_ethnicity,ALL,ALL,1880,1880,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Race_ethnicity (names),ALL,ALL,5000,5000,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Race_x_SES,ALL,ALL,3360,3360,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Race_x_SES (names),ALL,ALL,7800,7800,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Race_x_gender,ALL,ALL,4560,4560,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Race_x_gender (names),ALL,ALL,11400,11400,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Religion,ALL,ALL,1200,1200,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,SES,ALL,ALL,6864,6864,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,REPORTED_AGGREGATE,Sexual_orientation,ALL,ALL,864,864,100.0,100.0,100.0,sAMB / sDIS,None / 0.0,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,Age,ALL,ALL,3680,3680,72.14673913,93.80434783,50.48913043,sAMB / sDIS,-0.00326086957 / -0.01905829596,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,Disability_status,ALL,ALL,1556,1556,71.9151671,93.83033419,50.0,sAMB / sDIS,-0.01028277635 / -0.24866310160000002,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,Gender_identity,ALL,ALL,672,672,68.75,88.41463415,49.08536585,sAMB / sDIS,-0.018292682929999998 / -0.05590062112,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,Gender_identity (names),ALL,ALL,5000,5000,71.14,94.24,48.04,sAMB / sDIS,-0.0016 / 0.012458471760000001,,Source taxonomy; not independently rescored.
CATEGORY_REPORTED,gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,REPORTED_AGGREGATE,Nationality,ALL,ALL,3080,3080,68.73376623,92.72727273,44.74025974,sAMB / sDIS,-0.01558441558 / -0.038563829790000004,,Source taxonomy; not independently rescored.
