evaluation_id,model_id,model_name,condition_id,verification_status,category,category_schema,n,valid_n,coverage_pct,overall_accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,sAMB,sDIS,dis_alignment_gap_pp,notes
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Age,canonical_local_13,3680,3680,100.0,87.255,83.37,91.141,0.11413,0.026437,-2.935,
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Disability status,canonical_local_13,1556,1556,100.0,85.861,87.404,84.319,0.002571,0.081159,-7.602,
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Gender identity,canonical_local_13,672,672,100.0,86.012,95.536,76.488,0.02439,-0.021898,4.878,
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Gender identity (names),canonical_local_13,5000,5000,100.0,88.7,93.36,84.04,0.0232,0.032288,-4.88,
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Nationality,canonical_local_13,3080,3080,100.0,89.383,92.597,86.169,0.001299,0.003574,-1.429,
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Physical appearance,canonical_local_13,1576,1576,100.0,79.251,83.629,74.873,0.128173,0.12627,-8.707,
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race x SES,canonical_local_13,11160,11160,100.0,94.48,96.846,92.115,0.007527,-0.007327,1.075,
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race x gender,canonical_local_13,15960,15960,100.0,92.462,98.659,86.266,0.003634,-0.015092,1.613,
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race/ethnicity,canonical_local_13,1880,1880,100.0,91.968,91.17,92.766,0.01383,0.033937,-4.681,
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Race/ethnicity (names),canonical_local_13,5000,5000,100.0,91.0,91.24,90.76,-0.002,0.003472,-1.04,
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Religion,canonical_local_13,1200,1200,100.0,85.917,90.333,81.5,0.063333,0.034483,-2.333,
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,SES,canonical_local_13,6864,6864,100.0,91.128,94.435,87.821,0.02535,0.048392,-3.31,
granite_4_1_3b__native,granite_4_1_3b,Granite 4.1 3B,native,VERIFIED_FULL,Sexual orientation,canonical_local_13,864,864,100.0,91.898,96.759,87.037,0.00463,0.017632,-0.926,
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,VERIFIED_FULL,Age,canonical_local_13,3680,3680,100.0,67.418,43.478,91.359,0.346739,0.021277,-2.065,
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,VERIFIED_FULL,Disability status,canonical_local_13,1556,1556,100.0,72.237,47.815,96.658,0.33162,0.05974,-5.228,
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,VERIFIED_FULL,Gender identity,canonical_local_13,672,672,100.0,82.738,73.214,92.262,0.094512,0.054662,-6.098,
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,VERIFIED_FULL,Gender identity (names),canonical_local_13,5000,5000,100.0,82.84,68.92,96.76,0.1212,0.03013,-3.12,
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,VERIFIED_FULL,Nationality,canonical_local_13,3080,3080,100.0,78.896,64.935,92.857,0.092208,0.017705,-1.558,
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,VERIFIED_FULL,Physical appearance,canonical_local_13,1576,1576,100.0,64.721,43.909,85.533,0.477157,0.051519,0.189,
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,VERIFIED_FULL,Race x SES,canonical_local_13,11160,11160,100.0,80.529,67.419,93.638,0.078853,0.014368,-1.47,
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,VERIFIED_FULL,Race x gender,canonical_local_13,15960,15960,100.0,82.362,73.872,90.852,0.020426,0.029799,-2.985,
phi4_mini_3_8b__native,phi4_mini_3_8b,Phi-4 Mini 3.8B,native,VERIFIED_FULL,Race/ethnicity,canonical_local_13,1880,1880,100.0,91.915,85.957,97.872,0.014894,0.0,0.0,
