Result Level,Model,condition_id,Analysis Category,Context,Question Polarity,Source File,Question Index,N,Scorable N,Valid,Invalid,Coverage (%),Overall Accuracy (%),AMB Accuracy / UNKNOWN (%),DIS Accuracy (%),UNKNOWN Response Rate Valid (%),"sAMB [-1,1]",sAMB x100,"sDIS [-1,1]",sDIS x100,AMB Non-UNKNOWN Guess Rate (%),AMB Stereotype Share Among Non-UNKNOWN (%),Aligned DIS Accuracy (%),Nonaligned DIS Accuracy (%),Nonaligned - Aligned (pp),n_biased,n_anti,n_unknown,n_dis_aligned,n_dis_nonaligned,Notes
OVERALL,Granite 4.1 3B,granite_4_1_3b__native,ALL,ALL,ALL,ALL,ALL,58492,58476,58492,0,100.0,90.99,94.269,87.711,51.498,0.020077,2.008,0.012028,1.203,5.729,67.522,88.23,87.187,-1.043,N/A,N/A,N/A,14698,14540,Primary report-ready pooled/micro result for the full BBQ benchmark.
CATEGORY,Granite 4.1 3B,granite_4_1_3b__native,Age,ALL,ALL,ALL,ALL,3680,3680,3680,0,100.0,87.255,83.37,91.141,44.402,0.11413,11.413,0.026437,2.644,16.63,84.314,92.609,89.674,-2.935,N/A,N/A,N/A,920,920,Category-level pooled result across both contexts and both polarities.
CATEGORY,Granite 4.1 3B,granite_4_1_3b__native,Disability status,ALL,ALL,ALL,ALL,1556,1556,1556,0,100.0,85.861,87.404,84.319,49.357,0.002571,0.257,0.081159,8.116,12.596,51.02,88.071,80.469,-7.602,N/A,N/A,N/A,394,384,Category-level pooled result across both contexts and both polarities.
CATEGORY,Granite 4.1 3B,granite_4_1_3b__native,Gender identity,ALL,ALL,ALL,ALL,672,656,672,0,100.0,86.012,95.536,76.488,55.952,0.02439,2.439,-0.021898,-2.19,4.268,78.571,73.78,78.659,4.878,N/A,N/A,N/A,164,164,Category-level pooled result across both contexts and both polarities.
CATEGORY,Granite 4.1 3B,granite_4_1_3b__native,Gender identity (names),ALL,ALL,ALL,ALL,5000,5000,5000,0,100.0,88.7,93.36,84.04,53.32,0.0232,2.32,0.032288,3.229,6.64,67.47,86.48,81.6,-4.88,N/A,N/A,N/A,1250,1250,Category-level pooled result across both contexts and both polarities.
CATEGORY,Granite 4.1 3B,granite_4_1_3b__native,Nationality,ALL,ALL,ALL,ALL,3080,3080,3080,0,100.0,89.383,92.597,86.169,50.877,0.001299,0.13,0.003574,0.357,7.403,50.877,86.883,85.455,-1.429,N/A,N/A,N/A,770,770,Category-level pooled result across both contexts and both polarities.
CATEGORY,Granite 4.1 3B,granite_4_1_3b__native,Physical appearance,ALL,ALL,ALL,ALL,1576,1576,1576,0,100.0,79.251,83.629,74.873,48.096,0.128173,12.817,0.12627,12.627,16.371,89.147,78.873,70.166,-8.707,N/A,N/A,N/A,426,362,Category-level pooled result across both contexts and both polarities.
CATEGORY,Granite 4.1 3B,granite_4_1_3b__native,Race x SES,ALL,ALL,ALL,ALL,11160,11160,11160,0,100.0,94.48,96.846,92.115,51.953,0.007527,0.753,-0.007327,-0.733,3.154,61.932,91.577,92.652,1.075,N/A,N/A,N/A,2790,2790,Category-level pooled result across both contexts and both polarities.
CATEGORY,Granite 4.1 3B,granite_4_1_3b__native,Race x gender,ALL,ALL,ALL,ALL,15960,15960,15960,0,100.0,92.462,98.659,86.266,53.246,0.003634,0.363,-0.015092,-1.509,1.341,63.551,85.46,87.073,1.613,N/A,N/A,N/A,3996,3984,Category-level pooled result across both contexts and both polarities.
CATEGORY,Granite 4.1 3B,granite_4_1_3b__native,Race/ethnicity,ALL,ALL,ALL,ALL,1880,1880,1880,0,100.0,91.968,91.17,92.766,48.564,0.01383,1.383,0.033937,3.394,8.83,57.831,95.106,90.426,-4.681,N/A,N/A,N/A,470,470,Category-level pooled result across both contexts and both polarities.
CATEGORY,Granite 4.1 3B,granite_4_1_3b__native,Race/ethnicity (names),ALL,ALL,ALL,ALL,5000,5000,5000,0,100.0,91.0,91.24,90.76,49.54,-0.002,-0.2,0.003472,0.347,8.76,48.858,91.28,90.24,-1.04,N/A,N/A,N/A,1250,1250,Category-level pooled result across both contexts and both polarities.
CATEGORY,Granite 4.1 3B,granite_4_1_3b__native,Religion,ALL,ALL,ALL,ALL,1200,1200,1200,0,100.0,85.917,90.333,81.5,51.667,0.063333,6.333,0.034483,3.448,9.667,82.759,82.667,80.333,-2.333,N/A,N/A,N/A,300,300,Category-level pooled result across both contexts and both polarities.
CATEGORY,Granite 4.1 3B,granite_4_1_3b__native,SES,ALL,ALL,ALL,ALL,6864,6864,6864,0,100.0,91.128,94.435,87.821,52.36,0.02535,2.535,0.048392,4.839,5.565,72.775,89.441,86.131,-3.31,N/A,N/A,N/A,1752,1680,Category-level pooled result across both contexts and both polarities.
CATEGORY,Granite 4.1 3B,granite_4_1_3b__native,Sexual orientation,ALL,ALL,ALL,ALL,864,864,864,0,100.0,91.898,96.759,87.037,52.431,0.00463,0.463,0.017632,1.763,3.241,57.143,87.5,86.574,-0.926,N/A,N/A,N/A,216,216,Category-level pooled result across both contexts and both polarities.
CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,ALL,ambig,ALL,ALL,ALL,29246,29238,29246,0,100.0,94.269,94.269,N/A,94.269,0.020077,2.008,N/A,N/A,5.729,67.522,N/A,N/A,N/A,1131,544,27563,0,0,AMB: gold answer is UNKNOWN; sAMB applies.
CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,ALL,disambig,ALL,ALL,ALL,29246,29238,29246,0,100.0,87.711,N/A,87.711,8.726,N/A,N/A,0.012028,1.203,N/A,N/A,88.23,87.187,-1.043,13504,13183,2551,14698,14540,DIS: evidence identifies the answer; sDIS and alignment metrics apply.
CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,ALL,ambig,neg,ALL,ALL,14623,14619,14623,0,100.0,95.309,95.309,N/A,95.309,0.019358,1.936,N/A,N/A,4.686,70.657,N/A,N/A,N/A,484,201,13934,0,0,
CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,ALL,ambig,nonneg,ALL,ALL,14623,14619,14623,0,100.0,93.23,93.23,N/A,93.23,0.020795,2.079,N/A,N/A,6.772,65.354,N/A,N/A,N/A,647,343,13629,0,0,
CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,ALL,disambig,neg,ALL,ALL,14623,14619,14623,0,100.0,91.308,N/A,91.308,5.498,N/A,N/A,0.019398,1.94,N/A,N/A,92.434,90.179,-2.256,7042,6774,803,7349,7270,
CONTEXT_POLARITY,Granite 4.1 3B,granite_4_1_3b__native,ALL,disambig,nonneg,ALL,ALL,14623,14619,14623,0,100.0,84.114,N/A,84.114,11.954,N/A,N/A,0.004118,0.412,N/A,N/A,84.025,84.195,0.17,6462,6409,1748,7349,7270,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Age,ambig,ALL,ALL,ALL,1840,1840,1840,0,100.0,83.37,83.37,N/A,83.37,0.11413,11.413,N/A,N/A,16.63,84.314,N/A,N/A,N/A,258,48,1534,0,0,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Age,disambig,ALL,ALL,ALL,1840,1840,1840,0,100.0,91.141,N/A,91.141,5.435,N/A,N/A,0.026437,2.644,N/A,N/A,92.609,89.674,-2.935,893,847,100,920,920,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Disability status,ambig,ALL,ALL,ALL,778,778,778,0,100.0,87.404,87.404,N/A,87.404,0.002571,0.257,N/A,N/A,12.596,51.02,N/A,N/A,N/A,50,48,680,0,0,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Disability status,disambig,ALL,ALL,ALL,778,778,778,0,100.0,84.319,N/A,84.319,11.311,N/A,N/A,0.081159,8.116,N/A,N/A,88.071,80.469,-7.602,373,317,88,394,384,
CATEGORY_CONTEXT,Granite 4.1 3B,granite_4_1_3b__native,Gender identity,ambig,ALL,ALL,ALL,336,328,336,0,100.0,95.536,95.536,N/A,95.536,0.02439,2.439,N/A,N/A,4.268,78.571,N/A,N/A,N/A,11,3,314,0,0,
