evaluation_id,model_id,model_name,condition_id,source_model_label,condition_label_status,verification_status,source_group,category_schema,n,scorable_n,valid_n,invalid_n,coverage_pct,overall_accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,sAMB,sDIS,source_sAMB_x100,source_sDIS_x100,notes
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Age,gpt_source_15,3680,3680,3680,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Disability_status,gpt_source_15,1556,1556,1556,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Gender_identity,gpt_source_15,672,656,672,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Gender_identity (names),gpt_source_15,5000,5000,5000,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Nationality,gpt_source_15,3080,3080,3080,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Physical_appearance,gpt_source_15,1576,1576,1576,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Race_ethnicity,gpt_source_15,1880,1880,1880,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Race_ethnicity (names),gpt_source_15,5000,5000,5000,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Race_x_SES,gpt_source_15,3360,3360,3360,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Race_x_SES (names),gpt_source_15,7800,7800,7800,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Race_x_gender,gpt_source_15,4560,4560,4560,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Race_x_gender (names),gpt_source_15,11400,11400,11400,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Religion,gpt_source_15,1200,1200,1200,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,SES,gpt_source_15,6864,6864,6864,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_high,gpt_5_5,GPT 5.5,reasoning_high,GPT 5.5 cao,CONFIRMED_FROM_SOURCE_LABEL,REPORTED_AGGREGATE,Sexual_orientation,gpt_source_15,864,864,864,0,100.0,100.0,100.0,100.0,,0.0,,0.0,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
gpt_5_5__reasoning_medium,gpt_5_5,GPT 5.5,reasoning_medium,GPT 5.5 vá»,INFERRED_FROM_MOJIBAKE,REPORTED_AGGREGATE,Age,gpt_source_15,3680,3680,3680,0,100.0,72.14673913,93.80434783,50.48913043,-0.00326086957,-0.01905829596,-0.326086957,-1.905829596,Reported aggregate only; source taxonomy has 15 groups. Do not merge into canonical category table until raw/scorer audit.
